PlayerNBAId,PlayerNBAName,PlayerNBABirthDate,PlayerBREFId,PlayerBREFName,PlayerBREFBirthDate
1626296,Jordan Sibert,1992-08-01,siberjo01,Jordan Sibert,1992-08-01
1626643,Jacob Pullen,1989-11-10,pulleja01,Jacob Pullen,1989-11-10
1626780,Jonathan Gibson,1987-11-08,gibsojo01,Jonathan Gibson,1987-11-08
1627098,Malcolm Delaney,1989-03-11,delanma01,Malcolm Delaney,1989-03-11
1627215,Walter Lemon Jr.,1992-07-26,lemonwa01,Walt Lemon,1992-07-26
1627293,Alex Stepheson,1987-08-07,stephal01,Alex Stepheson,1987-08-07
1627362,Briante Weber,1992-12-29,weberbr01,Briante Weber,1992-12-29
1627395,Julian Washburn,1991-12-18,washbju01,Julian Washburn,1991-12-18
1627732,Ben Simmons,1996-07-20,simmobe01,Ben Simmons,1996-07-20
1627733,Dragan Bender,1997-11-17,bendedr01,Dragan Bender,1997-11-17
1627734,Domantas Sabonis,1996-05-03,sabondo01,Domantas Sabonis,1996-05-03
1627735,Wade Baldwin IV,1996-03-29,baldwwa01,Wade Baldwin,1996-03-29
1627736,Malik Beasley,1996-11-26,beaslma01,Malik Beasley,1996-11-26
1627737,Marquese Chriss,1997-07-02,chrisma01,Marquese Chriss,1997-07-02
1627738,Deyonta Davis,1996-12-02,davisde01,Deyonta Davis,1996-12-02
1627739,Kris Dunn,1994-03-18,dunnkr01,Kris Dunn,1994-03-18
1627740,Henry Ellenson,1997-01-13,ellenhe01,Henry Ellenson,1997-01-13
1627741,Buddy Hield,1992-12-17,hieldbu01,Buddy Hield,1992-12-17
1627742,Brandon Ingram,1997-09-02,ingrabr01,Brandon Ingram,1997-09-02
1627743,Demetrius Jackson,1994-09-07,jacksde01,Demetrius Jackson,1994-09-07
1627744,Brice Johnson,1994-06-27,johnsbr02,Brice Johnson,1994-06-27
1627745,Damian Jones,1995-06-30,jonesda03,Damian Jones,1995-06-30
1627746,Skal Labissiere,1996-03-18,labissk01,Skal Labissiere,1996-03-18
1627747,Caris LeVert,1994-08-25,leverca01,Caris LeVert,1994-08-25
1627748,Thon Maker,1997-02-25,makerth01,Thon Maker,1997-02-25
1627749,Dejounte Murray,1996-09-19,murrade01,Dejounte Murray,1996-09-19
1627750,Jamal Murray,1997-02-23,murraja01,Jamal Murray,1997-02-23
1627751,Jakob Poeltl,1995-10-15,poeltja01,Jakob Poltl,1995-10-15
1627752,Taurean Prince,1994-03-22,princta02,Taurean Waller-Prince,1994-03-22
1627753,Zhou Qi,1996-01-16,qizh01,Zhou Qi,1996-01-16
1627754,Diamond Stone,1997-02-10,stonedi01,Diamond Stone,1997-02-10
1627755,Tyler Ulis,1996-01-05,ulisty01,Tyler Ulis,1996-01-05
1627756,Denzel Valentine,1993-11-16,valende01,Denzel Valentine,1993-11-16
1627757,Stephen Zimmerman,1996-09-09,zimmest01,Stephen Zimmerman,1996-09-09
1627758,Ron Baker,1993-03-30,bakerro01,Ron Baker,1993-03-30
1627759,Jaylen Brown,1996-10-24,brownja02,Jaylen Brown,1996-10-24
1627760,Cat Barber,1994-07-25,barbeca01,Cat Barber,
1627761,DeAndre' Bembry,1994-07-04,bembrde01,DeAndre' Bembry,1994-07-04
1627762,Joel Bolomboy,1994-01-28,bolomjo01,Joel Bolomboy,1994-01-28
1627763,Malcolm Brogdon,1992-12-11,brogdma01,Malcolm Brogdon,1992-12-11
1627767,Cheick Diallo,1996-09-13,diallch01,Cheick Diallo,1996-09-13
1627770,Kay Felder,1995-03-29,feldeka01,Kay Felder,1995-03-29
1627771,Michael Gbinije,1992-06-05,gbinimi01,Michael Gbinije,1992-06-05
1627772,Daniel Hamilton,1995-08-08,hamilda02,Daniel Hamilton,1995-08-08
1627773,AJ Hammons,1992-08-27,hammoaj01,A.J. Hammons,1992-08-27
1627774,Jake Layman,1994-03-07,laymaja01,Jake Layman,1994-03-07
1627775,Patrick McCaw,1995-10-25,mccawpa01,Patrick McCaw,1995-10-25
1627777,Georges Niang,1993-06-17,niangge01,Georges Niang,1993-06-17
1627778,Chinanu Onuaku,1996-11-01,onuakch01,Chinanu Onuaku,1996-11-01
1627779,Marcus Paige,1993-09-11,paigema01,Marcus Paige,1993-09-11
1627780,Gary Payton II,1992-12-01,paytoga02,Gary Payton,1992-12-01
1627781,Malachi Richardson,1996-01-05,richama01,Malachi Richardson,1996-01-05
1627782,Wayne Selden,1994-09-30,seldewa01,Wayne Selden,1994-09-30
1627783,Pascal Siakam,1994-04-02,siakapa01,Pascal Siakam,1994-04-02
1627784,Jarrod Uthoff,1993-05-19,uthofja01,Jarrod Uthoff,1993-05-19
1627785,Isaiah Whitehead,1995-03-08,whiteis01,Isaiah Whitehead,1995-03-08
1627786,Troy Williams,1994-12-30,willitr02,Troy Williams,1994-12-30
1627787,Kyle Wiltjer,1992-10-20,wiltjky01,Kyle Wiltjer,1992-10-20
1627788,Furkan Korkmaz,1997-07-24,korkmfu01,Furkan Korkmaz,1997-07-24
1627789,Timothe Luwawu-Cabarrot,1995-05-09,luwawti01,Timothe Luwawu-Cabarrot,1995-05-09
1627790,Ante Zizic,1997-01-04,zizican01,Ante iic,1997-01-04
1627791,Ben Bentil,1995-03-29,bentibe01,Ben Bentil,1995-03-29
1627812,Yogi Ferrell,1993-05-09,ferreyo01,Yogi Ferrell,1993-05-09
1627814,Damion Lee,1992-10-21,leeda03,Damion Lee,1992-10-21
1627815,Sheldon Mac,1992-12-21,mcclesh01,Sheldon Mac,1992-12-21
1627816,Alex Poythress,1993-09-06,poythal01,Alex Poythress,1993-09-06
1627817,Tim Quarterman,1994-10-27,quartti01,Tim Quarterman,1994-10-27
1627819,Isaiah Taylor,1994-07-11,taylois01,Isaiah Taylor,1994-07-11
1627820,Tyrone Wallace,1994-06-10,wallaty01,Tyrone Wallace,1994-06-10
1627821,James Webb III,1993-08-19,webbja01,James Webb,1993-08-19
1627822,Petr Cornelie,1995-07-26,cornepe01,Petr Cornelie,
1627823,Juancho Hernangomez,1995-09-28,hernaju01,Juan Hernangomez,1995-09-28
1627824,Guerschon Yabusele,1995-12-17,yabusgu01,Guerschon Yabusele,1995-12-17
1627826,Ivica Zubac,1997-03-18,zubaciv01,Ivica Zubac,1997-03-18
1627827,Dorian Finney-Smith,1993-05-04,finnedo01,Dorian Finney-Smith,1993-05-04
1627832,Fred VanVleet,1994-02-25,vanvlfr01,Fred VanVleet,1994-02-25
1627834,Georgios Papagiannis,1997-07-03,papagge01,Georgios Papagiannis,1997-07-03
1627835,Paul Zipser,1994-02-18,zipsepa01,Paul Zipser,1994-02-18
1627846,Abdel Nader,1993-09-25,naderab01,Abdel Nader,1993-09-25
1627848,Shawn Long,1993-01-29,longsh01,Shawn Long,1993-01-29
1627849,Daniel Ochefu,1993-12-15,ochefda01,Daniel Ochefu,1993-12-15
1627850,Marshall Plumlee,1992-07-14,plumlma02,Marshall Plumlee,1992-07-14
1627851,Mindaugas Kuzminskas,1989-10-19,kuzmimi01,Mindaugas Kuzminskas,1989-10-19
1627852,Nicolas Brussino,1993-03-02,brussni01,Nicolas Brussino,1993-03-02
1627853,Ryan Arcidiacono,1994-03-26,arcidry01,Ryan Arcidiacono,1994-03-26
1627854,Bryn Forbes,1993-07-23,forbebr01,Bryn Forbes,1993-07-23
1627855,Okaro White,1992-08-13,whiteok01,Okaro White,1992-08-13
1627856,Matt Costello,1993-08-05,costema01,Matt Costello,1993-08-05
1627858,Kyle Collinsworth,1991-10-03,colliky01,Kyle Collinsworth,1991-10-03
1627861,Mike Tobey,1994-10-10,tobeymi01,Mike Tobey,1994-10-10
